dt_seconds,value
0.000033,40.00
0.000066,27.00
2.247401,20.00
14.794625,20.00
16.614212,21.00
19.898848,20.00
22.046713,25.00
25.881366,21.00
30.177926,17.00
32.652657,18.00
43.012467,21.00
46.077085,24.00
49.722361,21.00
# --- NOVO DATASET ---
0.000105,20.00
0.000124,18.00
53.657926,23.00
55.339160,24.00
58.248590,27.00
60.572138,25.00
62.013277,28.00
66.032405,22.00
68.150466,24.00
71.285228,22.00
76.051643,24.00
79.249946,21.00
83.110970,20.00
88.965027,14.00
93.420342,13.00
95.081749,15.00
97.893752,16.00
101.030646,20.00
104.116259,22.00
109.497282,16.00
# --- NOVO DATASET ---
0.000074,23.00
0.000086,24.00
1.286748,19.00
4.289902,18.00
8.865512,16.00
11.783807,15.00
14.147920,18.00
18.039118,17.00
25.782332,20.00
41.998297,18.00
47.200878,20.00
# --- NOVO DATASET 2025-11-05 15:46:07 ---
0.002544,27.00
0.003380,30.00
0.004349,29.00
3.964485,24.00
7.386366,19.00
11.540456,15.00
16.948032,18.00
26.197923,18.00
28.696890,21.00
32.830501,19.00
34.313100,21.00
36.640705,23.00
38.265226,25.00
39.246857,37.00
41.629447,32.00
47.362905,26.00
50.462916,21.00
53.815475,19.00
# --- NOVO DATASET 2025-11-05 15:49:02 ---
0.001406,27.00
0.002564,22.00
0.004500,20.00
0.005987,18.00
1.549968,19.00
4.717166,21.00
# --- NOVO DATASET 2025-11-05 15:49:28 ---
0.000829,22.00
0.002103,23.00
0.004733,20.00
0.616345,23.00
4.636754,19.00
7.975824,18.00
15.083117,16.00
18.013655,17.00
20.930781,18.00
34.647466,17.00
46.088998,16.00
59.824206,17.00
63.462867,16.00
66.496370,17.00
69.896816,18.00
73.264122,17.00
82.960290,18.00
93.562979,17.00
103.175693,18.00
110.298627,17.00
114.242103,16.00
128.050762,17.00
133.891854,18.00
139.637229,15.00
142.851657,16.00
145.906618,17.00
149.059759,15.00
152.109534,19.00
157.749253,20.00
164.260502,19.00
176.051894,18.00
180.406330,16.00
190.106189,17.00
193.752154,18.00
199.345486,19.00
204.988668,21.00
207.853531,22.00
210.603356,21.00
219.469563,20.00
226.798986,18.00
229.753309,17.00
235.697473,18.00
239.217324,19.00
243.407488,17.00
252.669980,14.00
258.899715,15.00
264.164002,14.00
266.515876,17.00
275.636309,20.00
278.619359,19.00
280.500905,22.00
286.844080,21.00
# --- NOVO DATASET 2025-11-06 14:49:56 ---
0.001445,28.00
0.008274,22.00
0.016230,19.00
3.105619,17.00
10.166277,16.00
14.995222,15.00
# --- NOVO DATASET 2025-11-06 14:51:55 ---
0.001603,24.00
0.007104,21.00
0.011911,24.00
2.851007,20.00
7.033127,19.00
11.160976,17.00
14.665210,15.00
16.311580,17.00
# --- NOVO DATASET 2025-11-06 14:53:01 ---
0.002741,18.00
0.006825,17.00
0.017107,16.00
0.631864,15.00
5.868722,16.00
9.826994,14.00
19.477408,17.00
21.423531,20.00
23.758983,22.00
33.362698,22.00
# --- NOVO DATASET 2025-11-06 15:52:54 ---
0.001308,23.00
0.004006,22.00
0.019855,20.00
0.025823,21.00
2.886986,20.00
5.673823,21.00
8.659579,22.00
10.979287,21.00
34.374803,21.00
36.805331,22.00
46.213110,21.00
50.952456,17.00
53.662814,18.00
57.310680,16.00
63.244577,19.00
64.855985,21.00
71.109524,23.00
76.747878,20.00
78.169291,25.00
79.924111,27.00
84.159166,22.00
86.722779,24.00
90.018736,20.00
94.386566,16.00
101.815418,19.00
118.221148,19.00
132.781880,21.00
134.772071,27.00
137.772778,25.00
141.058207,22.00
153.925609,24.00
156.997154,21.00
159.278573,23.00
162.819729,22.00
174.627697,19.00
175.896592,22.00
180.289807,26.00
187.738634,34.00
189.622251,31.00
