dt_seconds,value
0.000062,111.00
0.000068,103.00
0.000070,96.00
0.000072,90.00
0.000074,83.00
2.056488,75.00
2.747303,76.00
3.835562,73.00
15.422118,69.00
16.865685,73.00
17.812388,71.00
18.758556,69.00
21.090567,71.00
21.983271,69.00
24.436309,68.00
25.063412,69.00
25.820612,71.00
26.839064,69.00
27.464837,71.00
28.157732,76.00
29.040623,75.00
32.652631,73.00
33.408100,75.00
35.306156,73.00
42.221145,71.00
43.864682,73.00
45.397170,71.00
46.077055,73.00
47.805714,71.00
48.444356,73.00
49.787132,75.00
50.245294,76.00
51.990071,78.00
# --- NOVO DATASET ---
0.000000,83.00
0.000102,83.00
0.000116,81.00
0.000118,75.00
0.000120,76.00
0.000121,75.00
0.000123,78.00
0.000126,78.00
0.000128,81.00
0.000131,76.00
52.026329,76.00
53.157718,75.00
55.211069,73.00
57.454134,75.00
58.146731,73.00
60.008762,75.00
61.265659,76.00
62.513742,71.00
63.143788,73.00
63.709297,71.00
64.529067,75.00
65.532408,71.00
79.687614,76.00
81.996938,75.00
82.599314,76.00
83.417835,75.00
84.533480,76.00
85.019667,78.00
86.377750,81.00
87.149409,83.00
87.883860,81.00
88.609722,83.00
89.592060,81.00
92.544470,78.00
93.858096,83.00
95.260165,81.00
97.395324,78.00
98.332578,76.00
99.271420,75.00
104.243815,76.00
106.378996,75.00
107.108079,73.00
107.992673,71.00
# --- NOVO DATASET ---
0.000000,81.00
0.000068,83.00
0.000071,85.00
0.000083,81.00
0.000084,83.00
0.000085,81.00
0.000087,81.00
0.000087,78.00
0.000088,81.00
0.000089,78.00
1.771925,81.00
2.273656,83.00
4.852066,78.00
5.418342,85.00
6.665953,88.00
7.486961,85.00
8.170626,88.00
9.107413,85.00
9.769248,88.00
10.719710,83.00
12.029751,78.00
15.021529,81.00
18.284682,78.00
24.037873,78.00
26.153978,81.00
27.035071,78.00
27.477113,83.00
28.106834,88.00
28.981961,85.00
42.683546,85.00
43.438851,83.00
44.686512,85.00
46.570749,81.00
49.629840,83.00
50.304780,81.00
50.872184,83.00
51.681607,81.00
# --- NOVO DATASET 2025-11-05 15:46:07 ---
0.000000,76.00
0.000834,78.00
0.001394,76.00
0.001780,78.00
0.002163,81.00
0.002952,81.00
0.003878,81.00
0.004819,83.00
0.005498,81.00
0.006003,85.00
0.006432,88.00
2.877998,88.00
3.347687,90.00
4.080800,88.00
4.681634,90.00
5.219237,88.00
6.949882,85.00
7.838132,83.00
