run,dataset,wrap,preproc,filter_type,wi,wf,ordFinal,ordUsed,N,hop,harm,harm_max,harm_ratio,MAE,RMSE,Corr,Score,Nuse,key
1,POLARH3 x phases_raw,0,none,firpm,0.6,2,2,64,32,16,0,3,0.2,16.0026546067231,16.9701342010387,-0.136876193586515,-1.50268006395729,2891,"wrap=0 | pre=none | flt=firpm(0.6-2Hz,ord2,used64) | N=32 | hop=16 | harm=0(max3,r0.2)"
2,POLARH3 x phases_raw,0,none,firpm,0.6,2,2,64,32,16,0,3,0.5,16.0026546067231,16.9701342010387,-0.136876193586515,-1.50268006395729,2891,"wrap=0 | pre=none | flt=firpm(0.6-2Hz,ord2,used64) | N=32 | hop=16 | harm=0(max3,r0.5)"
3,POLARH3 x phases_raw,0,none,firpm,0.6,2,2,64,32,16,1,3,0.2,18.0244703592285,18.6214442792574,-0.0266887478977128,-1.54862707516772,2891,"wrap=0 | pre=none | flt=firpm(0.6-2Hz,ord2,used64) | N=32 | hop=16 | harm=1(max3,r0.2)"
4,POLARH3 x phases_raw,0,none,firpm,0.6,2,2,64,32,16,1,3,0.5,17.1902436963325,17.8478714716775,-0.0279940823313147,-1.48243531620386,2891,"wrap=0 | pre=none | flt=firpm(0.6-2Hz,ord2,used64) | N=32 | hop=16 | harm=1(max3,r0.5)"
5,POLARH3 x phases_raw,0,none,firpm,0.6,2,2,64,32,8,0,3,0.2,15.5574550562781,16.3670114094292,-0.143476212852995,-1.46691601264787,2894,"wrap=0 | pre=none | flt=firpm(0.6-2Hz,ord2,used64) | N=32 | hop=8 | harm=0(max3,r0.2)"
6,POLARH3 x phases_raw,0,none,firpm,0.6,2,2,64,32,8,0,3,0.5,15.5574550562781,16.3670114094292,-0.143476212852995,-1.46691601264787,2894,"wrap=0 | pre=none | flt=firpm(0.6-2Hz,ord2,used64) | N=32 | hop=8 | harm=0(max3,r0.5)"
7,POLARH3 x phases_raw,0,none,firpm,0.6,2,2,64,32,8,1,3,0.2,18.1831285172061,18.6732412645403,0.0119123653149579,-1.51968543603002,2894,"wrap=0 | pre=none | flt=firpm(0.6-2Hz,ord2,used64) | N=32 | hop=8 | harm=1(max3,r0.2)"
8,POLARH3 x phases_raw,0,none,firpm,0.6,2,2,64,32,8,1,3,0.5,17.2487170755169,17.8473075442664,-0.0363538551205572,-1.49369996037195,2894,"wrap=0 | pre=none | flt=firpm(0.6-2Hz,ord2,used64) | N=32 | hop=8 | harm=1(max3,r0.5)"
9,POLARH3 x phases_raw,0,none,firpm,0.6,2,2,64,64,32,0,3,0.2,50.9146765890576,51.3153719445973,-0.0578613112638743,-4.31410753887,2878,"wrap=0 | pre=none | flt=firpm(0.6-2Hz,ord2,used64) | N=64 | hop=32 | harm=0(max3,r0.2)"
10,POLARH3 x phases_raw,0,none,firpm,0.6,2,2,64,64,32,0,3,0.5,50.9146765890576,51.3153719445973,-0.0578613112638743,-4.31410753887,2878,"wrap=0 | pre=none | flt=firpm(0.6-2Hz,ord2,used64) | N=64 | hop=32 | harm=0(max3,r0.5)"
11,POLARH3 x phases_raw,0,none,firpm,0.6,2,2,64,64,32,1,3,0.2,53.4687033921569,53.6577376128102,-0.0972544910025415,-4.55928091437073,2878,"wrap=0 | pre=none | flt=firpm(0.6-2Hz,ord2,used64) | N=64 | hop=32 | harm=1(max3,r0.2)"
